open,high,low,close,volume,time
127.101,129.246,122.800,124.783,20147930.1127,2021-11-01 00:00:00
124.817,130.130,124.000,129.074,23608225.4268,2021-11-02 00:00:00
129.200,139.900,128.399,137.800,64403648.3727,2021-11-03 00:00:00
137.800,143.000,132.800,136.823,39775014.8960,2021-11-04 00:00:00
136.822,136.822,129.900,131.950,20512495.5453,2021-11-05 00:00:00
131.950,133.881,125.600,130.908,17438669.3011,2021-11-06 00:00:00
130.970,140.124,130.501,138.120,23697365.4590,2021-11-07 00:00:00
138.120,146.800,138.120,144.830,43426862.7154,2021-11-08 00:00:00
144.831,145.504,138.000,141.585,48925913.5232,2021-11-09 00:00:00
141.584,152.433,128.000,136.254,76466405.0006,2021-11-10 00:00:00
136.203,143.200,134.597,138.694,28768816.0732,2021-11-11 00:00:00
138.650,140.942,132.100,135.677,25289774.5195,2021-11-12 00:00:00
135.687,137.250,133.357,135.755,11570582.0210,2021-11-13 00:00:00
135.757,136.801,133.424,135.486,8378941.9950,2021-11-14 00:00:00
135.533,139.057,133.610,134.281,13943147.0896,2021-11-15 00:00:00
134.258,134.258,120.500,125.205,39898873.4783,2021-11-16 00:00:00
125.177,127.699,122.100,125.296,17094290.7603,2021-11-17 00:00:00
125.250,132.176,116.597,119.044,42447564.6734,2021-11-18 00:00:00
119.095,125.800,116.900,124.498,22000673.0846,2021-11-19 00:00:00
124.463,126.400,121.185,125.766,14714093.0787,2021-11-20 00:00:00
125.744,125.833,120.813,121.062,11953579.8916,2021-11-21 00:00:00
121.064,122.396,117.800,119.496,23603031.0706,2021-11-22 00:00:00
119.400,123.192,117.333,122.853,23686359.5295,2021-11-23 00:00:00
122.901,123.700,116.830,119.599,18045814.9703,2021-11-24 00:00:00
119.599,122.820,118.289,120.111,18723581.5176,2021-11-25 00:00:00
120.170,120.402,105.500,106.954,44923133.9907,2021-11-26 00:00:00
106.990,109.902,106.200,107.536,11225384.4318,2021-11-27 00:00:00
107.470,110.307,101.007,110.275,22479841.0073,2021-11-28 00:00:00
110.275,113.948,109.525,112.877,19311951.6129,2021-11-29 00:00:00
112.952,116.250,110.055,113.193,19256710.6747,2021-11-30 00:00:00
113.193,115.503,110.920,111.964,11693985.0357,2021-12-01 00:00:00
111.962,111.962,108.503,110.330,13187988.7720,2021-12-02 00:00:00
110.329,111.788,101.500,104.752,17268363.2993,2021-12-03 00:00:00
104.710,105.001,81.000,96.110,95331696.0719,2021-12-04 00:00:00
96.008,97.860,87.246,91.259,34985442.8809,2021-12-05 00:00:00
91.260,94.400,85.213,93.930,29442841.3260,2021-12-06 00:00:00
93.826,96.300,91.358,92.664,18411946.2462,2021-12-07 00:00:00
92.665,100.458,91.358,98.123,23884659.0114,2021-12-08 00:00:00
98.146,106.298,94.659,97.781,38508584.6578,2021-12-09 00:00:00
97.688,100.396,90.036,90.944,27115561.0727,2021-12-10 00:00:00
90.937,96.000,89.250,95.301,12992076.5269,2021-12-11 00:00:00
95.433,97.396,92.131,95.594,11739505.4832,2021-12-12 00:00:00
95.593,96.078,86.661,89.069,20893261.1846,2021-12-13 00:00:00
89.096,93.509,88.087,92.384,16547374.9792,2021-12-14 00:00:00
92.379,95.806,88.781,94.393,17663952.2580,2021-12-15 00:00:00
94.394,95.633,91.544,91.576,13250579.5065,2021-12-16 00:00:00
91.682,94.773,88.197,90.752,16577842.4578,2021-12-17 00:00:00
90.723,94.990,90.073,94.099,10955795.6869,2021-12-18 00:00:00
94.154,96.499,93.247,94.808,11628778.5823,2021-12-19 00:00:00
94.873,103.901,93.606,100.000,37643753.0955,2021-12-20 00:00:00
100.000,109.570,97.122,107.960,24180486.1308,2021-12-21 00:00:00
108.000,111.200,105.705,108.761,21847807.4790,2021-12-22 00:00:00
108.768,116.050,107.000,113.700,32246107.4203,2021-12-23 00:00:00
113.699,113.981,101.500,104.303,40898732.1959,2021-12-24 00:00:00
104.331,106.925,102.900,105.829,13322844.6395,2021-12-25 00:00:00
105.829,106.600,103.627,104.942,9134499.2546,2021-12-26 00:00:00
104.968,109.521,104.651,106.111,17414484.9201,2021-12-27 00:00:00
106.129,106.129,97.202,97.817,21894741.1228,2021-12-28 00:00:00
97.850,99.200,93.333,94.020,19583900.7634,2021-12-29 00:00:00
94.011,98.700,92.363,96.341,21605020.3880,2021-12-30 00:00:00
